Country,category,term_frequency,TopicShare,TopicShare_pct
Croatia,Affordability and income constraints,1,0.01,1.0
Croatia,Governance and planning,91,0.91,91.0
Croatia,Housing and thermal comfort,1,0.01,1.0
Croatia,Welfare and care,7,0.07,7.0
Cuba,Governance and planning,5,1.0,100.0
Cyprus,Governance and planning,210,0.9502262443438914,95.023
Cyprus,Health and vulnerability,5,0.0226244343891402,2.262
Cyprus,Welfare and care,6,0.0271493212669683,2.715
Czech Republic,Affordability and income constraints,2,0.0051413881748071,0.514
Czech Republic,Energy transition and efficiency,2,0.0051413881748071,0.514
Czech Republic,Governance and planning,304,0.781491002570694,78.149
Czech Republic,Health and vulnerability,5,0.0128534704370179,1.285
Czech Republic,Household behaviour and adoption,1,0.0025706940874035,0.257
Czech Republic,Housing and thermal comfort,20,0.0514138817480719,5.141
Czech Republic,Welfare and care,55,0.1413881748071979,14.139
Denmark,Affordability and income constraints,5,0.0077881619937694,0.779
Denmark,Energy transition and efficiency,29,0.0451713395638629,4.517
Denmark,Governance and planning,545,0.8489096573208723,84.891
Denmark,Health and vulnerability,13,0.0202492211838006,2.025
Denmark,Household behaviour and adoption,25,0.0389408099688473,3.894
Denmark,Housing and thermal comfort,13,0.0202492211838006,2.025
Denmark,Welfare and care,12,0.0186915887850467,1.869
Dominican Republic,Governance and planning,3,0.75,75.0
Dominican Republic,Housing and thermal comfort,1,0.25,25.0
EU,Affordability and income constraints,658,0.0095659000377983,0.957
EU,Energy transition and efficiency,1531,0.0222574361061843,2.226
EU,Governance and planning,59436,0.8640711772744454,86.407
EU,Health and vulnerability,622,0.0090425377256999,0.904
EU,Household behaviour and adoption,881,0.0128078388044078,1.281
EU,Housing and thermal comfort,1118,0.0162533073590556,1.625
EU,Welfare and care,4540,0.0660018026924083,6.6
Ecuador,Governance and planning,9,1.0,100.0
Egypt,Affordability and income constraints,26,0.0869565217391304,8.696
Egypt,Energy transition and efficiency,3,0.0100334448160535,1.003
Egypt,Governance and planning,214,0.7157190635451505,71.572
Egypt,Health and vulnerability,16,0.0535117056856187,5.351
Egypt,Household behaviour and adoption,5,0.0167224080267558,1.672
Egypt,Housing and thermal comfort,12,0.040133779264214,4.013
Egypt,Welfare and care,23,0.0769230769230769,7.692
El Salvador,Health and vulnerability,2,1.0,100.0
Estonia,Affordability and income constraints,1,0.0040322580645161,0.403
Estonia,Energy transition and efficiency,7,0.0282258064516129,2.823
Estonia,Governance and planning,208,0.8387096774193549,83.871
Estonia,Health and vulnerability,11,0.0443548387096774,4.435
Estonia,Household behaviour and adoption,3,0.0120967741935483,1.21
Estonia,Welfare and care,18,0.0725806451612903,7.258
Eswatini,Governance and planning,262,0.9290780141843972,92.908
Eswatini,Health and vulnerability,12,0.0425531914893617,4.255
Eswatini,Household behaviour and adoption,1,0.0035460992907801,0.355
Eswatini,Housing and thermal comfort,4,0.0141843971631205,1.418
Eswatini,Welfare and care,3,0.0106382978723404,1.064
Ethiopia,Affordability and income constraints,6,0.0175953079178885,1.76
Ethiopia,Energy transition and efficiency,2,0.0058651026392961,0.587
Ethiopia,Governance and planning,266,0.7800586510263929,78.006
Ethiopia,Health and vulnerability,27,0.0791788856304985,7.918
Ethiopia,Household behaviour and adoption,7,0.0205278592375366,2.053
Ethiopia,Housing and thermal comfort,9,0.0263929618768328,2.639
Ethiopia,Welfare and care,24,0.0703812316715542,7.038
Fiji,Affordability and income constraints,2,0.0093457943925233,0.935
Fiji,Energy transition and efficiency,1,0.0046728971962616,0.467
Fiji,Governance and planning,165,0.7710280373831776,77.103
Fiji,Health and vulnerability,24,0.1121495327102803,11.215
Fiji,Housing and thermal comfort,8,0.0373831775700934,3.738
Fiji,Welfare and care,14,0.0654205607476635,6.542
Finland,Affordability and income constraints,55,0.0346129641283826,3.461
Finland,Energy transition and efficiency,21,0.013215859030837,1.322
Finland,Governance and planning,1269,0.7986154814348647,79.862
Finland,Health and vulnerability,76,0.0478288231592196,4.783
Finland,Household behaviour and adoption,36,0.0226557583385777,2.266
Finland,Housing and thermal comfort,23,0.0144745122718691,1.447
Finland,Welfare and care,109,0.0685966016362492,6.86
France,Affordability and income constraints,154,0.0206075204067978,2.061
France,Energy transition and efficiency,130,0.0173959587849591,1.74
France,Governance and planning,6382,0.8540077612739194,85.401
France,Health and vulnerability,239,0.0319818011508095,3.198
France,Household behaviour and adoption,200,0.0267630135153218,2.676
France,Housing and thermal comfort,153,0.0204737053392211,2.047
France,Welfare and care,215,0.0287702395289709,2.877
Gambia,Energy transition and efficiency,1,0.0303030303030303,3.03
Gambia,Governance and planning,32,0.9696969696969696,96.97
