year,sdg,doc_concentration_value
2007,6,0.2402366863905326
2007,7,0.2467300832342449
2007,8,0.2906496466022182
2007,9,0.2461143805643579
2007,10,0.2839088287133472
2007,11,0.218990458602647
2007,12,0.209750566893424
2007,13,0.2903033908387865
2007,14,0.3504273504273503
2007,15,0.2745023935500126
2007,16,0.2537586789266279
2007,17,0.4268899954730647
2008,1,0.302527343000466
2008,2,0.3486562395320673
2008,3,0.199546485260771
2008,4,0.303962038501601
2008,5,0.3541991534862998
2008,6,0.1792355371900826
2008,7,0.2620037807183365
2008,8,0.2630045260090521
2008,9,0.1920415224913495
2008,10,0.3025117121665467
2008,11,0.2328888888888889
2008,12,0.1974852071005917
2008,13,0.2747370052168524
2008,14,0.3746938775510204
2008,15,0.2090947279983197
2008,16,0.25545
2008,17,0.5113421550094517
2009,1,0.2780195241392275
2009,2,0.3356058761464165
2009,3,0.2149946083717283
2009,4,0.2382487880886426
2009,5,0.3735904499540863
2009,6,0.255787037037037
2009,7,0.3061961951323201
2009,8,0.2084247256835962
2009,9,0.2239616210074485
2009,10,0.2458878319460959
2009,11,0.3075918367346938
2009,12,0.165
2009,13,0.2813052805901615
2009,14,0.2533333333333334
2009,15,0.2083434786137489
2009,16,0.2644316921688754
2009,17,0.5555319375066426
2010,1,0.2551310287592965
2010,2,0.2563105948117739
2010,3,0.2127869897959184
2010,4,0.1941727055198413
2010,5,0.2670050330225743
2010,6,0.19375
2010,7,0.184347941040386
2010,8,0.2216479238754326
2010,9,0.1801798454221165
2010,10,0.2372705474031037
2010,11,0.256843275685822
2010,12,0.2423469387755101
2010,13,0.2623390510135888
2010,14,0.3697959183673469
2010,15,0.2325014073935072
2010,16,0.2090151145568258
2010,17,0.4195276357438519
2011,1,0.2799720838992003
2011,2,0.260715109573241
2011,3,0.1899508770450329
2011,4,0.1914307725089741
2011,5,0.3505261479591836
2011,6,0.1749660479855139
2011,7,0.2067093745415423
2011,8,0.201680595039702
2011,9,0.1507568359375
2011,10,0.2315605906633043
2011,11,0.220796145408026
2011,12,0.126643598615917
2011,13,0.2325534239048671
2011,14,0.3163265306122448
2011,15,0.1836419753086419
2011,16,0.2509864147919727
2011,17,0.418558829048602
2012,1,0.3788633786848073
2012,2,0.3445061728395061
2012,3,0.2385647323264165
2012,4,0.2329762269156208
2012,5,0.338016
2012,6,0.1941987513007284
2012,7,0.1987597760192513
2012,8,0.2794570429046681
2012,9,0.1983270345175107
2012,10,0.2852951091910251
2012,11,0.1945428640738552
2012,12,0.1547271970012495
2012,13,0.2648542534205829
2012,14,0.2485287460389317
2012,15,0.2106925207756233
2012,16,0.2208518301904779
2012,17,0.4038567493112946
2013,1,0.377780499727238
2013,2,0.2508093421204764
2013,3,0.2078545788326312
2013,4,0.2049685084655416
2013,5,0.2940395345315612
2013,6,0.2106371191135734
2013,7,0.1914000167968422
2013,8,0.2400476190207393
2013,9,0.1794391924371094
2013,10,0.2596936461659493
2013,11,0.2238018563881067
2013,12,0.1446409989594173
2013,13,0.2125240383522534
2013,14,0.291015625
2013,15,0.1839361662087395
2013,16,0.2046772754312909
2013,17,0.411841583234148
2014,1,0.239380555488471
2014,2,0.2434132797731569
2014,3,0.2495945098078051
2014,4,0.2119133184438653
2014,5,0.269489332155031
2014,6,0.1822892851699436
2014,7,0.1961950059453032
2014,8,0.1827162884340245
2014,9,0.1535519848354603
2014,10,0.1967368251496684
2014,11,0.2440977141243011
2014,12,0.1617197901166889
2014,13,0.2121819262782402
2014,14,0.2792
2014,15,0.2035652147370349
2014,16,0.1755933627389204
2014,17,0.39337822671156
2015,1,0.23297788508291
2015,2,0.2255802469135803
2015,3,0.2192281743639851
2015,4,0.1898360655737705
2015,5,0.2253856275020296
2015,6,0.1825517140202454
2015,7,0.17513080947984
2015,8,0.1525092207639875
2015,9,0.138938266329031
2015,10,0.201385012982601
2015,11,0.2033800443182173
2015,12,0.1691657054978855
2015,13,0.215404369212963
2015,14,0.1527233891064436
2015,15,0.173659445152436
2015,16,0.163436232746625
2015,17,0.3888711734693878
2016,1,0.237761617927031
2016,2,0.232762035820771
2016,3,0.2104101919567932
2016,4,0.1721822279898914
2016,5,0.2245302749198854
2016,6,0.2491460055096419
2016,7,0.1965347771761765
2016,8,0.1745508384915037
2016,9,0.1633594253136873
2016,10,0.1897697109019602
