category,Source country,mention_count,rank_in_category
housing and thermal comfort,Ethiopia,1,57.0
housing and thermal comfort,Jamaica,1,58.0
housing and thermal comfort,Lithuania,1,59.0
housing and thermal comfort,Malawi,1,60.0
housing and thermal comfort,Mexico,1,61.0
housing and thermal comfort,Montenegro,1,62.0
housing and thermal comfort,Pakistan,1,63.0
housing and thermal comfort,Papua New Guinea,1,64.0
housing and thermal comfort,Thailand,1,65.0
welfare and care,IGO,9366,1.0
welfare and care,USA,6507,2.0
welfare and care,UK,4400,3.0
welfare and care,EU,4385,4.0
welfare and care,Ireland,724,5.0
welfare and care,Australia,706,6.0
welfare and care,Canada,701,7.0
welfare and care,Germany,439,8.0
welfare and care,Belgium,374,9.0
welfare and care,France,358,10.0
welfare and care,South Africa,252,11.0
welfare and care,Uganda,211,12.0
welfare and care,New Zealand,151,13.0
welfare and care,Austria,131,14.0
welfare and care,Spain,129,15.0
welfare and care,Tanzania,122,16.0
welfare and care,Switzerland,117,17.0
welfare and care,Sweden,114,18.0
welfare and care,India,113,19.0
welfare and care,Netherlands,96,20.0
welfare and care,Norway,84,21.0
welfare and care,Kenya,80,22.0
welfare and care,Finland,78,23.0
welfare and care,South Korea,74,24.0
welfare and care,Philippines,70,25.0
welfare and care,Japan,53,26.0
welfare and care,Singapore,47,27.0
welfare and care,Trinidad and Tobago,46,28.0
welfare and care,Ghana,44,29.0
welfare and care,Indonesia,44,30.0
welfare and care,Portugal,44,31.0
welfare and care,Papua New Guinea,41,32.0
welfare and care,China,39,33.0
welfare and care,Italy,39,34.0
welfare and care,Czech Republic,38,35.0
welfare and care,Peru,35,36.0
welfare and care,Egypt,33,37.0
welfare and care,Brazil,32,38.0
welfare and care,Turkey,31,39.0
welfare and care,Latvia,29,40.0
welfare and care,Pakistan,28,41.0
welfare and care,Sri Lanka,27,42.0
welfare and care,Kosovo,25,43.0
welfare and care,Poland,24,44.0
welfare and care,Ethiopia,22,45.0
welfare and care,Mexico,22,46.0
welfare and care,Nigeria,19,47.0
welfare and care,Rwanda,19,48.0
welfare and care,Estonia,18,49.0
welfare and care,Malawi,18,50.0
welfare and care,Taiwan,18,51.0
welfare and care,Somalia,17,52.0
welfare and care,Mauritius,15,53.0
welfare and care,Jamaica,14,54.0
welfare and care,Malta,14,55.0
welfare and care,Slovenia,14,56.0
welfare and care,Denmark,13,57.0
welfare and care,Micronesia,12,58.0
welfare and care,Slovakia,12,59.0
welfare and care,Chile,11,60.0
welfare and care,Samoa,11,61.0
welfare and care,Zambia,11,62.0
welfare and care,Argentina,10,63.0
welfare and care,Belize,10,64.0
welfare and care,Hungary,10,65.0
welfare and care,Nepal,10,66.0
welfare and care,Cambodia,9,67.0
welfare and care,Greece,9,68.0
welfare and care,Fiji,8,69.0
welfare and care,Liberia,8,70.0
welfare and care,Maldives,8,71.0
welfare and care,Montenegro,8,72.0
welfare and care,Serbia,8,73.0
welfare and care,Bangladesh,7,74.0
welfare and care,Georgia,7,75.0
welfare and care,Guyana,7,76.0
welfare and care,Laos,7,77.0
welfare and care,Mozambique,7,78.0
welfare and care,Namibia,7,79.0
welfare and care,Botswana,6,80.0
welfare and care,Bulgaria,6,81.0
welfare and care,Cyprus,6,82.0
welfare and care,Lebanon,6,83.0
welfare and care,Mongolia,6,84.0
welfare and care,North Macedonia,6,85.0
welfare and care,Solomon Islands,6,86.0
welfare and care,Croatia,5,87.0
welfare and care,Eswatini,5,88.0
welfare and care,Thailand,5,89.0
welfare and care,Timor Leste,5,90.0
welfare and care,Togo,5,91.0
welfare and care,Venezuela,5,92.0
welfare and care,Bahamas,4,93.0
welfare and care,Cameroon,4,94.0
welfare and care,Colombia,4,95.0
welfare and care,Iraq,4,96.0
welfare and care,Lithuania,4,97.0
welfare and care,Qatar,4,98.0
welfare and care,Sierra Leone,4,99.0
welfare and care,South Sudan,4,100.0
welfare and care,Suriname,4,101.0
welfare and care,Ukraine,4,102.0
welfare and care,Afghanistan,3,103.0
welfare and care,Cape Verde,3,104.0
welfare and care,Guatemala,3,105.0
welfare and care,Iceland,3,106.0
